adaptorId; datestamp; temperature; humidity; temperature_corrected; humidity_corrected; temperature_real; humidity_real
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:01:05.000+02:00;26.7;19.0;20.8;63.4;10.7;48
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:06:09.000+02:00;27.0;19.0;20.8;63.4;11.1;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:11:13.000+02:00;27.2;19.0;20.8;63.3;11.4;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:16:12.000+02:00;27.3;19.0;20.8;63.3;11.7;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:21:12.000+02:00;27.5;19.0;20.8;63.3;11.9;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:26:14.000+02:00;27.6;19.0;20.8;63.3;12.1;46
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:31:14.000+02:00;27.7;18.0;21.0;63.4;12.2;46
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:36:14.000+02:00;27.8;18.0;21.0;63.4;12.4;46
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:41:14.000+02:00;27.9;19.0;20.8;63.2;12.4;46
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:46:15.000+02:00;28.1;18.0;21.0;63.4;12.6;46
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:51:19.000+02:00;28.1;18.0;21.0;63.4;12.6;46
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T16:56:18.000+02:00;28.1;18.0;21.0;63.4;12.7;46
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T17:01:19.000+02:00;28.2;18.0;21.0;63.3;12.8;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T17:06:19.000+02:00;28.3;18.0;21.0;63.3;12.9;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T17:11:19.000+02:00;28.3;19.0;20.8;63.2;12.9;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T17:16:20.000+02:00;28.5;18.0;21.0;63.3;13;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T17:26:24.000+02:00;28.5;18.0;21.0;63.3;13.1;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T17:36:29.000+02:00;28.6;18.0;21.0;63.3;13.2;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T17:46:32.000+02:00;28.7;18.0;21.0;63.2;13.2;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T17:56:37.000+02:00;28.8;18.0;21.0;63.2;13.3;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:01:37.000+02:00;28.7;19.0;20.9;63.1;13.3;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:06:37.000+02:00;28.9;18.0;21.0;63.2;13.4;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:11:37.000+02:00;29.0;19.0;20.9;63.0;13.4;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:16:38.000+02:00;29.7;19.0;19.5;61.6;13.5;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:21:38.000+02:00;35.5;18.0;19.6;61.3;13.5;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:26:38.000+02:00;39.1;17.0;19.7;61.1;13.5;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:31:38.000+02:00;43.2;15.0;19.8;60.7;13.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:36:40.000+02:00;44.8;15.0;19.8;60.5;13.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:41:40.000+02:00;46.4;14.0;20.0;60.4;13.6;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:46:41.000+02:00;47.0;14.0;20.1;60.4;13.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:51:41.000+02:00;47.8;13.0;20.3;60.5;13.7;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T18:56:43.000+02:00;48.1;13.0;20.4;60.6;13.8;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:01:44.000+02:00;48.3;13.0;20.5;61.0;13.8;45
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T19:06:45.000+02:00;48.4;13.0;20.6;61.2;13.8;45
